onL,offL,onR,offR
455.472,455.7345,455.124,455.3905
456.168,456.4345,455.816,456.0825
456.8665,457.132,456.511,456.781
457.5675,457.8305,457.2135,457.481
458.255,458.522,457.9055,458.1725
458.9445,459.204,458.5975,458.863
459.6275,459.891,459.2835,459.546
460.3195,460.5835,459.9685,460.2365
461.005,461.2655,460.6575,460.9215
461.6915,461.9525,461.3435,461.612
462.3845,462.651,462.033,462.303
463.075,463.337,462.7265,462.9965
463.7585,464.0275,463.415,463.6795
464.46,464.7255,464.105,464.3745
NaN,NaN,464.801,NaN
